N_PARCELLE;Date_debut;Date_fin;Type_intervention;Detail_intervention;Crop;N;P;K;MG;S;Herbi;Fongi;Mollus;Insect
P101;2009-10-10;2010-07-20;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P101;2010-07-20;2010-07-20;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P101;2009-09-07;2009-09-07;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P101;2009-10-05;2009-10-05;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2010-03-10;2010-03-10;Traitement;Herbicide;-;0;0;0;0;0;2;0;0;0
P101;2010-05-04;2010-05-04;Traitement;Fongicide;-;0;0;0;0;0;0;0.733333333333333;0;0
P101;2010-05-28;2010-05-28;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.19047619047619
P101;2010-02-16;2010-02-16;Fertilisation;N;_;50;0;0;0;0;0;0;0;0
P101;2010-02-16;2010-02-16;Fertilisation;N;_;76;0;0;0;56;0;0;0;0
P101;2010-02-16;2010-02-16;Fertilisation;N;_;76;0;0;0;0;0;0;0;0
P101;2010-10-03;2011-06-27;Culture;Culture principale;Orge_hiver;0;0;0;0;0;0;0;0;0
P101;2011-06-27;2011-06-27;Recolte;Culture principale;Orge_hiver;0;0;0;0;0;0;0;0;0
P101;2010-08-25;2010-08-25;Travail-sol;Labour;_;0;0;0;0;0;0;0;0;0
P101;2010-09-03;2010-09-03;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P101;2010-09-20;2010-09-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2011-07-01;2011-07-15;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P101;2010-11-04;2010-11-04;Traitement;Herbicide;-;0;0;0;0;0;1.43333333333333;0;0;0
P101;2011-05-26;2011-05-26;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P101;2011-02-16;2011-02-16;Fertilisation;N;_;42;48;48;0;0;0;0;0;0
P101;2011-02-16;2011-02-16;Fertilisation;N;_;95;0;0;0;35;0;0;0;0
P101;2011-09-26;2012-07-27;Culture;Culture principale;Moutarde;0;0;0;0;0;0;0;0;0
P101;2012-07-27;2012-07-27;Recolte;Culture principale;Moutarde;0;0;0;0;0;0;0;0;0
P101;2011-07-15;2011-07-15;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P101;2011-08-25;2011-08-25;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P101;2011-09-15;2011-09-15;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P101;2011-09-20;2011-09-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2012-06-01;2012-06-01;Traitement;Fongicide;-;0;0;0;0;0;0;0.75;0;0
P101;2012-06-20;2012-06-20;Traitement;Fongicide;-;0;0;0;0;0;0;1;0;0
P101;2012-03-24;2012-03-24;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.714285714285714
P101;2011-10-05;2011-10-05;Traitement;Herbicide;-;0;0;0;0;0;1.04;0;0;0
P101;2012-05-14;2012-05-14;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1
P101;2012-04-12;2012-04-12;Traitement;Herbicide;-;0;0;0;0;0;0.24;0;0;0
P101;2012-05-24;2012-05-24;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1
P101;2012-10-18;2013-07-20;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P101;2013-07-20;2013-07-20;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P101;2012-08-15;2012-08-15;Travail-sol;Labour;_;0;0;0;0;0;0;0;0;0
P101;2012-08-20;2012-08-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2012-10-15;2012-10-15;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2013-07-25;2013-07-25;Travail-sol;Pressage;_;0;0;0;0;0;0;0;0;0
